price,area_sqft,bedrooms,bathrooms,price_per_sqft,total_agent_listings,cluster,market_segment,bed_bath_ratio,lead_score
79500000,2007,2,2,39611.36024,178,3,Premium Area,1.0,50.431321674348794
18500000,1764,3,4,10487.52834,130,1,Budget Area,0.75,63.23885365035985
62000000,1377,1,2,45025.41757,136,3,Premium Area,0.5,38.19204675950251
17700000,1359,2,2,13024.28256,109,3,Premium Area,1.0,48.596310028040726
42500000,1044,1,1,40708.81226,139,3,Premium Area,1.0,37.225731348522764
35000000,900,3,3,38888.88889,33,1,Budget Area,1.0,52.43127074451471
7000000,1053,2,2,6647.673314,59,3,Premium Area,1.0,46.03820147359151
41000000,3150,4,4,13015.87302,24,0,Mid-Value Area,1.0,71.39542345694136
70000000,2403,3,3,29130.25385,62,1,Budget Area,1.0,58.16036598376727
21500000,1197,2,2,17961.57059,89,3,Premium Area,1.0,46.93201781218706
